Tahun,Provinsi,Luas_Area_Negara,Produksi_Negara,Produktivitas_Negara,Luas_Area_Swasta,Produksi_Swasta,Produktivitas_Swasta,Luas_Area_Rakyat,Produksi_Rakyat,Produktivitas_Rakyat,Total_Area,Total_Produksi,Produktivitas_Total,Pangsa_Produksi_Nasional_Persen
2012,Kepulauan Riau,0,0,0.00,17719,36281,2.05,1265923,0,0.00,18984,37204,1.96,0.16
2012,Lampung,18003,60610,3.37,56440,201248,3.57,86119,171964,2.00,160562,433822,2.70,1.88
2012,Maluku,0,0,0.00,0,0,0.00,0,0,0.00,15614,0,0.00,0.00
2012,Maluku Utara,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2012,Nusa Tenggara Barat,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2012,Nusa Tenggara Timur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2012,Papua,12079,24999,2.07,24397,60357,2.47,14244,8120,0.57,50720,93476,1.84,0.41
2012,Papua Barat,2807,7363,2.62,35385,11959,0.34,10915,34394,3.15,38976,53716,1.38,0.23
2012,Riau,77740,225124,2.90,764154,2674241,3.50,1297294,3485172,2.69,2139824,6384537,2.98,27.69
2012,Sulawesi Barat,0,0,0.00,47085,157669,3.35,47997,96059,2.00,95082,253728,2.67,1.10
2012,Sulawesi Selatan,6321,13853,2.19,2530,5929,2.34,23413,27400,1.17,32264,47182,1.46,0.20
2012,Sulawesi Tengah,6189,6163,1.00,74026,123132,1.66,62377,104784,1.68,142592,234079,1.64,1.02
2012,Sulawesi Tenggara,3817,5614,1.47,51215,23168,0.45,5538,82,0.01,60570,28864,0.48,0.13
2012,Sulawesi Utara,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2012,Sumatera Barat,9357,35498,3.79,169154,510329,3.02,177389,384288,2.17,355900,930115,2.61,4.03
2012,Sumatera Selatan,49171,135262,2.75,476552,1343578,2.82,372439,1014059,2.72,898162,2492899,2.78,10.81
2012,Sumatera Utara,321538,1031241,3.21,484829,1759045,3.63,416542,1185139,2.85,1222909,3975425,3.25,17.24
2013,Aceh,39194,67304,1.72,159204,404328,2.54,198246,345893,1.74,396644,817525,2.06,2.94
2013,Bali,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2013,Bangka Belitung,0,0,0.00,141976,413329,2.91,59115,94796,1.60,201091,508125,2.53,1.83
2013,Banten,9843,15920,1.62,2513,1023,0.41,7745,10133,1.31,20101,27076,1.35,0.10
2013,Bengkulu,4386,16620,3.79,91930,304214,3.31,194317,466216,2.40,290633,787050,2.71,2.83
2013,D.I. Yogyakarta,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2013,DKI Jakarta,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2013,Gorontalo,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2013,Jambi,26181,84290,3.22,224487,702036,3.13,407261,963291,2.37,657929,1749617,2.66,6.30
2013,Jawa Barat,10226,27644,2.70,3139,4846,1.54,246,153,0.62,13611,32643,2.40,0.12
2013,Jawa Tengah,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2013,Jawa Timur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2013,Kalimantan Barat,57134,129706,2.27,542763,1187230,2.19,314938,477530,1.52,914835,1794466,1.96,6.46
2013,Kalimantan Selatan,16886,51255,3.04,389404,1054397,2.71,69449,138388,1.99,475739,1244040,2.61,4.48
2013,Kalimantan Tengah,700,382,0.55,967935,2896793,2.99,131057,229963,1.75,1099692,3127138,2.84,11.26
2013,Kalimantan Timur,50529,147762,2.92,462204,906223,1.96,201478,295790,1.47,714211,1349775,1.89,4.86
2013,Kalimantan Utara,7220,18033,2.50,66038,110597,1.67,28788,36099,1.25,102046,164729,1.61,0.59
2013,Kepulauan Riau,0,0,0.00,17761,35640,2.01,1275,1134,0.89,19036,36774,1.93,0.13
2013,Lampung,18512,64059,3.46,52963,187878,3.55,86570,172118,1.99,158045,424055,2.68,1.53
2013,Maluku,0,0,0.00,15614,0,0.00,18367,14740,0.80,33981,14740,0.43,0.05
2013,Maluku Utara,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2013,Nusa Tenggara Barat,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2013,Nusa Tenggara Timur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00
2013,Papua,12079,24999,2.07,24397,60357,2.47,14244,8120,0.57,50720,93476,1.84,0.34
2013,Papua Barat,2807,7363,2.62,25254,11959,0.47,10915,34394,3.15,38976,53716,1.38,0.19
2013,Riau,83670,249321,2.98,761975,2705481,3.55,1348076,3692195,2.74,2193721,6646997,3.03,23.93
2013,Sulawesi Barat,0,0,0.00,45471,156208,3.44,50847,126530,2.49,96318,282738,2.94,1.02
